id,question,bert_precision,bert_recall,bert_F1
60,How do I lowercase a string in Python?,0.4875,0.7171,0.5804
53,How do I parse a string to a float or int?,0.5571,0.7306,0.6322
25,Does Python have a string 'contains' substring method?,0.5153,0.7239,0.6021
40,How do I check if a list is empty?,0.5614,0.7339,0.6362
68,How do I get the number of elements in a list (length of a list) in Python?,0.5665,0.7773,0.6554
79,How do I append to a file?,0.5973,0.7754,0.6748
63,Calling a function of a module by using its name (a string),0.5798,0.7322,0.6471
89,How do I check if a string represents a number (float or int)?,0.5892,0.7475,0.659
9,How can I access the index value in a 'for' loop?,0.5726,0.7227,0.639
21,Convert bytes to a string in Python 3,0.6091,0.8042,0.6932
38,How do I change the size of figures drawn with Matplotlib?,0.5855,0.7596,0.6613
37,How do I make a time delay?,0.5888,0.7613,0.664
55,How do I get a substring of a string in Python?,0.5698,0.7153,0.6343
66,How to remove an element from a list by index,0.5758,0.7336,0.6452
44,What is the difference between Python's list methods append and extend?,0.6463,0.8126,0.72
80,Is there a way to run Python on Android?,0.6242,0.7848,0.6954
24,How can I add new keys to a dictionary?,0.6329,0.8059,0.709
39,How do I concatenate two lists in Python?,0.6395,0.8211,0.719
71,How can I determine a Python variable's type?,0.6591,0.7635,0.7074
26,How can I delete a file or folder in Python?,0.6342,0.8402,0.7228
78,Why is it string.join(list) instead of list.join(string)?,0.5995,0.7114,0.6507
85,How to prettyprint a JSON file?,0.6481,0.8043,0.7178
75,How do I count the occurrences of a list item?,0.6028,0.7637,0.6737
74,How to check if the string is empty in Python?,0.6139,0.7709,0.6835
50,How can I sort a list of dictionaries by a value of the dictionary in Python?,0.6383,0.8261,0.7201
70,How do I pad a string with zeros?,0.6169,0.7348,0.6707
18,"How can I catch multiple exceptions in one line? (in the ""except"" block)",0.5832,0.6845,0.6298
86,Getting the class name of an instance,0.6766,0.7388,0.7063
17,How do I get the current time in Python?,0.5912,0.727,0.6521
47,How can I remove a key from a Python dictionary?,0.6574,0.8236,0.7311
56,How do I escape curly-brace ({}) characters characters in a string while using .format?,0.6486,0.7517,0.6964
36,Understanding Python super() with __init__() methods,0.6226,0.7408,0.6766
65,How can I randomly select (choose) an item from a list (get a random element)?,0.6642,0.7765,0.716
30,How can I access environment variables in Python?,0.6838,0.8318,0.7506
7,How do I execute a program or call a system command?,0.61,0.7873,0.6874
61,How can I check if an object has an attribute?,0.6211,0.741,0.6758
87,How do I get the row count of a Pandas DataFrame?,0.653,0.7528,0.6994
81,How can I remove a trailing newline?,0.6496,0.771,0.7051
51,How to leave/exit/deactivate a Python virtualenv,0.6344,0.7364,0.6816
48,"Convert string ""Jun 1 2005 1:33PM"" into datetime",0.6894,0.7889,0.7358
57,Check if a given key already exists in a dictionary,0.6546,0.7604,0.7036
29,How do I list all files of a directory?,0.6633,0.7961,0.7237
16,How can I use a global variable in a function?,0.667,0.7672,0.7136
27,"Least Astonishment"" and the Mutable Default Argument",0.6174,0.7408,0.6735
72,Delete an element from a dictionary,0.6215,0.716,0.6654
52,How do I get the last element of a list?,0.7142,0.8131,0.7604
58,Importing files from different folder,0.6309,0.7605,0.6897
88,How to read a file line-by-line into a list?,0.6828,0.8262,0.7477
14,"Iterating over a dictionary using a 'for' loop, getting keys",0.6717,0.7803,0.7219
67,Delete a column from a Pandas DataFrame,0.6839,0.8021,0.7383
90,What's the canonical way to check for type in Python?,0.6414,0.7581,0.6949
19,How do I copy a file?,0.6673,0.7872,0.7223
20,What is __init__.py for?,0.6864,0.8133,0.7445
59,Class (static) variables and methods,0.6619,0.7442,0.7006
42,How do I split a list into equally-sized chunks?,0.6609,0.7798,0.7154
43,Find the current directory and file's directory,0.7267,0.8267,0.7735
49,How to upgrade all Python packages with pip,0.6591,0.7629,0.7072
84,How do I split the definition of a long string over multiple lines?,0.6534,0.7495,0.6982
77,How do I measure elapsed time in Python?,0.6675,0.7654,0.7131
5,How do I check whether a file exists without exceptions?,0.6943,0.7594,0.7254
15,How can I iterate over rows in a Pandas DataFrame?,0.685,0.7744,0.727
62,How to print without a newline or space,0.6876,0.7608,0.7223
64,Limiting floats to two decimal points,0.677,0.7539,0.7134
45,Renaming column names in Pandas,0.7005,0.7762,0.7364
31,How do I sort a dictionary by value?,0.7358,0.8249,0.7778
10,How do I make a flat list out of a list of lists?,0.7123,0.7461,0.7288
82,Static methods in Python?,0.7471,0.7932,0.7694
73,Determine the type of an object?,0.7062,0.7818,0.7421
32,How do I clone a list so that it doesn't change unexpectedly after assignment?,0.7276,0.7711,0.7487
76,Why is reading lines from stdin much slower in C++ than Python?,0.6948,0.7792,0.7346
34,How do I print colored text to the terminal?,0.6843,0.7629,0.7215
8,"How do I create a directory, and any missing parent directories?",0.72,0.7733,0.7457
83,Installing specific package version with pip,0.6371,0.7388,0.6842
28,What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,0.7087,0.778,0.7418
12,How slicing in Python works,0.6957,0.78,0.7355
23,How do I select rows from a DataFrame based on column values?,0.6891,0.7617,0.7236
11,What is the difference between @staticmethod and @classmethod in Python?,0.7179,0.7767,0.7461
46,"Why is ""1000000000000000 in range(1000000000000001)"" so fast in Python 3?",0.7003,0.7409,0.72
13,How can I find the index for a given item in a list?,0.7529,0.7708,0.7617
54,How do I install pip on Windows?,0.7107,0.7555,0.7324
3,Does Python have a ternary conditional operator?,0.7564,0.7647,0.7605
69,"What is the difference between venv, pyvenv, pyenv, virtualenv, virtualenvwrapper, pipenv, etc?",0.7257,0.7848,0.7541
22,What is the difference between __str__ and __repr__?,0.733,0.7391,0.736
33,How do I pass a variable by reference?,0.7608,0.7851,0.7727
35,Manually raising (throwing) an exception in Python,0.7468,0.7511,0.7489
2,"What does if __name__ == ""__main__"": do?",0.7764,0.7659,0.7711
1,"What does the ""yield"" keyword do in Python?",0.7428,0.7064,0.7241
6,How do I merge two dictionaries in a single expression in Python?,0.7858,0.7138,0.7481
4,What are metaclasses in Python?,0.7947,0.7585,0.7762
41,How do I make function decorators and chain them together,0.8063,0.7859,0.796
