id,question,bert_precision,bert_recall,bert_F1
60,How do I lowercase a string in Python?,0.7271,0.7876,0.7562
53,How do I parse a string to a float or int?,0.6493,0.6407,0.645
25,Does Python have a string 'contains' substring method?,0.6644,0.6838,0.674
40,How do I check if a list is empty?,0.7653,0.7259,0.7451
68,How do I get the number of elements in a list (length of a list) in Python?,0.7769,0.7315,0.7535
79,How do I append to a file?,0.757,0.772,0.7644
63,Calling a function of a module by using its name (a string),0.7467,0.7364,0.7415
89,How do I check if a string represents a number (float or int)?,0.6614,0.6304,0.6455
9,How can I access the index value in a 'for' loop?,0.7442,0.7275,0.7358
21,Convert bytes to a string in Python 3,0.8236,0.7959,0.8096
38,How do I change the size of figures drawn with Matplotlib?,0.7315,0.7255,0.7285
37,How do I make a time delay?,0.6931,0.6911,0.6921
55,How do I get a substring of a string in Python?,0.6782,0.6972,0.6876
66,How to remove an element from a list by index,0.6979,0.7125,0.7051
44,What is the difference between Python's list methods append and extend?,0.716,0.6415,0.6767
80,Is there a way to run Python on Android?,0.7662,0.7158,0.7402
24,How can I add new keys to a dictionary?,0.7658,0.818,0.7911
39,How do I concatenate two lists in Python?,0.7719,0.7671,0.7695
71,How can I determine a Python variable's type?,0.7499,0.7288,0.7392
26,How can I delete a file or folder in Python?,0.7608,0.7638,0.7623
78,Why is it string.join(list) instead of list.join(string)?,0.6797,0.6392,0.6588
85,How to prettyprint a JSON file?,0.7387,0.6999,0.7188
75,How do I count the occurrences of a list item?,0.757,0.7206,0.7384
74,How to check if the string is empty in Python?,0.7509,0.7511,0.751
50,How can I sort a list of dictionaries by a value of the dictionary in Python?,0.79,0.7843,0.7871
70,How do I pad a string with zeros?,0.6938,0.6978,0.6958
18,"How can I catch multiple exceptions in one line? (in the ""except"" block)",0.712,0.6962,0.704
86,Getting the class name of an instance,0.7759,0.7467,0.761
17,How do I get the current time in Python?,0.6869,0.6481,0.6669
47,How can I remove a key from a Python dictionary?,0.7642,0.8243,0.7931
56,How do I escape curly-brace ({}) characters characters in a string while using .format?,0.7557,0.7246,0.7398
36,Understanding Python super() with __init__() methods,0.7723,0.7292,0.7502
