id,question,bert_precision,bert_recall,bert_F1
1,"What does the ""yield"" keyword do in Python?",0.7629,0.6847,0.7217
2,"What does if __name__ == ""__main__"": do?",0.8065,0.7324,0.7677
3,Does Python have a ternary conditional operator?,0.7861,0.7485,0.7669
4,What are metaclasses in Python?,0.814,0.761,0.7866
5,How do I check whether a file exists without exceptions?,0.7398,0.7937,0.7658
6,How do I merge two dictionaries in a single expression in Python?,0.8231,0.7172,0.7665
7,How do I execute a program or call a system command?,0.6464,0.7711,0.7032
8,"How do I create a directory, and any missing parent directories?",0.8031,0.7798,0.7913
9,How can I access the index value in a 'for' loop?,0.6518,0.7505,0.6977
10,How do I make a flat list out of a list of lists?,0.7698,0.7313,0.7501
11,What is the difference between @staticmethod and @classmethod in Python?,0.7664,0.7707,0.7686
12,How slicing in Python works,0.7283,0.7833,0.7548
13,How can I find the index for a given item in a list?,0.7812,0.7472,0.7638
14,"Iterating over a dictionary using a 'for' loop, getting keys",0.711,0.7895,0.7481
15,How can I iterate over rows in a Pandas DataFrame?,0.7498,0.7769,0.7631
16,How can I use a global variable in a function?,0.6921,0.7799,0.7334
17,How do I get the current time in Python?,0.6782,0.7524,0.7133
18,"How can I catch multiple exceptions in one line? (in the ""except"" block)",0.6185,0.693,0.6536
19,How do I copy a file?,0.7557,0.7955,0.7751
20,What is __init__.py for?,0.6863,0.8088,0.7425
21,Convert bytes to a string in Python 3,0.6494,0.7958,0.7152
22,What is the difference between __str__ and __repr__?,0.7619,0.7181,0.7394
23,How do I select rows from a DataFrame based on column values?,0.7316,0.7506,0.741
24,How can I add new keys to a dictionary?,0.6716,0.8375,0.7454
25,Does Python have a string 'contains' substring method?,0.5554,0.7107,0.6235
26,How can I delete a file or folder in Python?,0.6565,0.8197,0.7291
27,"""Least Astonishment"" and the Mutable Default Argument",0.6284,0.7132,0.6681
28,What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,0.8009,0.7906,0.7958
29,How do I list all files of a directory?,0.7236,0.8101,0.7644
30,How can I access environment variables in Python?,0.6923,0.7889,0.7375
31,How do I sort a dictionary by value?,0.7785,0.825,0.8011
32,How do I clone a list so that it doesn't change unexpectedly after assignment?,0.7386,0.7374,0.738
33,How do I pass a variable by reference?,0.7351,0.7333,0.7342
34,How do I print colored text to the terminal?,0.7149,0.7343,0.7245
35,Manually raising (throwing) an exception in Python,0.7375,0.7141,0.7256
36,Understanding Python super() with __init__() methods,0.6534,0.7293,0.6892
37,How do I make a time delay?,0.6406,0.7841,0.7051
38,How do I change the size of figures drawn with Matplotlib?,0.6752,0.7788,0.7233
39,How do I concatenate two lists in Python?,0.7191,0.8072,0.7606
40,How do I check if a list is empty?,0.5847,0.7408,0.6536
41,How do I make function decorators and chain them together,0.8282,0.7503,0.7873
42,How do I split a list into equally-sized chunks?,0.7118,0.789,0.7484
43,Find the current directory and file's directory,0.7417,0.8111,0.7748
44,What is the difference between Python's list methods append and extend?,0.6896,0.8521,0.7623
45,Renaming column names in Pandas,0.7693,0.8045,0.7865
46,"Why is ""1000000000000000 in range(1000000000000001)"" so fast in Python 3?",0.7516,0.7508,0.7512
47,How can I remove a key from a Python dictionary?,0.6902,0.8317,0.7544
48,"Convert string ""Jun 1 2005 1:33PM"" into datetime",0.7075,0.7827,0.7432
49,How to upgrade all Python packages with pip,0.7323,0.7923,0.7611
50,How can I sort a list of dictionaries by a value of the dictionary in Python?,0.6666,0.8275,0.7384
51,How to leave/exit/deactivate a Python virtualenv,0.6702,0.7677,0.7157
52,How do I get the last element of a list?,0.7132,0.8056,0.7566
53,How do I parse a string to a float or int?,0.5902,0.7249,0.6507
54,How do I install pip on Windows?,0.7377,0.717,0.7272
55,How do I get a substring of a string in Python?,0.5902,0.7111,0.645
56,How do I escape curly-brace ({}) characters characters in a string while using .format?,0.7065,0.7738,0.7386
57,Check if a given key already exists in a dictionary,0.6875,0.7482,0.7166
58,Importing files from different folder,0.6754,0.7568,0.7138
59,Class (static) variables and methods,0.6865,0.7439,0.7141
60,How do I lowercase a string in Python?,0.5274,0.7084,0.6046
61,How can I check if an object has an attribute?,0.6561,0.7603,0.7044
62,How to print without a newline or space,0.7645,0.7924,0.7782
63,Calling a function of a module by using its name (a string),0.647,0.7442,0.6922
64,Limiting floats to two decimal points,0.7002,0.7349,0.7171
65,How can I randomly select (choose) an item from a list (get a random element)?,0.6829,0.81,0.741
66,How to remove an element from a list by index,0.6527,0.7741,0.7082
67,Delete a column from a Pandas DataFrame,0.7495,0.8189,0.7826
68,How do I get the number of elements in a list (length of a list) in Python?,0.6284,0.8081,0.707
69,"What is the difference between venv, pyvenv, pyenv, virtualenv, virtualenvwrapper, pipenv, etc?",0.767,0.7815,0.7742
70,How do I pad a string with zeros?,0.6814,0.7556,0.7166
71,How can I determine a Python variable's type?,0.6991,0.7984,0.7455
72,Delete an element from a dictionary,0.6445,0.7254,0.6825
73,Determine the type of an object?,0.7154,0.7712,0.7423
74,How to check if the string is empty in Python?,0.6896,0.8002,0.7408
75,How do I count the occurrences of a list item?,0.6636,0.7699,0.7128
76,Why is reading lines from stdin much slower in C++ than Python?,0.7149,0.7555,0.7347
77,How do I measure elapsed time in Python?,0.7094,0.7783,0.7422
78,Why is it string.join(list) instead of list.join(string)?,0.642,0.7758,0.7026
79,How do I append to a file?,0.6428,0.7926,0.7099
80,Is there a way to run Python on Android?,0.6764,0.7767,0.7231
81,How can I remove a trailing newline?,0.6918,0.774,0.7306
82,Static methods in Python?,0.7473,0.7963,0.771
83,Installing specific package version with pip,0.7051,0.7278,0.7163
84,How do I split the definition of a long string over multiple lines?,0.6927,0.7463,0.7185
85,How to prettyprint a JSON file?,0.683,0.7923,0.7336
86,Getting the class name of an instance,0.6911,0.7212,0.7058
87,How do I get the row count of a Pandas DataFrame?,0.7134,0.7718,0.7414
88,How to read a file line-by-line into a list?,0.7469,0.8388,0.7902
89,How do I check if a string represents a number (float or int)?,0.6285,0.7409,0.6801
90,What's the canonical way to check for type in Python?,0.6734,0.764,0.7158
