id,question,bert_precision,bert_recall,bert_F1
60,How do I lowercase a string in Python?,0.632,0.7329,0.6787
53,How do I parse a string to a float or int?,0.6161,0.6691,0.6415
25,Does Python have a string 'contains' substring method?,0.6426,0.7014,0.6707
40,How do I check if a list is empty?,0.7218,0.7102,0.7159
68,How do I get the number of elements in a list (length of a list) in Python?,0.6928,0.7587,0.7242
79,How do I append to a file?,0.7352,0.7838,0.7587
63,Calling a function of a module by using its name (a string),0.7423,0.7431,0.7427
89,How do I check if a string represents a number (float or int)?,0.632,0.6223,0.6271
9,How can I access the index value in a 'for' loop?,0.7275,0.7299,0.7287
21,Convert bytes to a string in Python 3,0.7636,0.7888,0.776
38,How do I change the size of figures drawn with Matplotlib?,0.7134,0.7584,0.7352
37,How do I make a time delay?,0.6808,0.7309,0.7049
55,How do I get a substring of a string in Python?,0.633,0.6361,0.6345
66,How to remove an element from a list by index,0.6451,0.6587,0.6519
44,What is the difference between Python's list methods append and extend?,0.7212,0.7801,0.7495
80,Is there a way to run Python on Android?,0.743,0.7048,0.7234
24,How can I add new keys to a dictionary?,0.7171,0.8064,0.7591
39,How do I concatenate two lists in Python?,0.7219,0.763,0.7419
71,How can I determine a Python variable's type?,0.6933,0.7091,0.7011
26,How can I delete a file or folder in Python?,0.7123,0.783,0.746
78,Why is it string.join(list) instead of list.join(string)?,0.6729,0.6729,0.6729
85,How to prettyprint a JSON file?,0.7331,0.7315,0.7323
75,How do I count the occurrences of a list item?,0.6976,0.7497,0.7227
74,How to check if the string is empty in Python?,0.7211,0.7655,0.7426
50,How can I sort a list of dictionaries by a value of the dictionary in Python?,0.7606,0.7837,0.772
70,How do I pad a string with zeros?,0.6516,0.6843,0.6676
18,"How can I catch multiple exceptions in one line? (in the ""except"" block)",0.6767,0.687,0.6818
86,Getting the class name of an instance,0.7597,0.73,0.7446
17,How do I get the current time in Python?,0.6738,0.6609,0.6673
47,How can I remove a key from a Python dictionary?,0.7683,0.8266,0.7964
56,How do I escape curly-brace ({}) characters characters in a string while using .format?,0.7149,0.7181,0.7165
36,Understanding Python super() with __init__() methods,0.706,0.7226,0.7142
